Function                              CPU Time  CPU Time:Effective Time  CPU Time:Effective Time:Idle  CPU Time:Effective Time:Poor  CPU Time:Effective Time:Ok  CPU Time:Effective Time:Ideal  CPU Time:Effective Time:Over  CPU Time:Spin Time  CPU Time:Overhead Time  Module        Function (Full)                       Source File  Start Address
[Import thunk GOMP_sections_next]       0.041s                   0.041s                            0s                        0.041s                          0s                             0s                            0s                  0s                      0s  str_test      [Import thunk GOMP_sections_next]     [Unknown]    0x400af0     
matrix_add                              0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  str_test      matrix_add                            [Unknown]    0x400e28     
func@0x1668b                            0.040s                   0.040s                            0s                        0.040s                          0s                             0s                            0s                  0s                      0s  libgomp.so.1  func@0x1668b                          [Unknown]    0x1668b      
omp_get_thread_num                      0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libgomp.so.1  omp_get_thread_num                    [Unknown]    0xe240       
strassen_multiply_internal._omp_fn.7    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  str_test      strassen_multiply_internal._omp_fn.7  [Unknown]    0x402667     
strassen_multiply_internal._omp_fn.9    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  str_test      strassen_multiply_internal._omp_fn.9  [Unknown]    0x4027c7     
func@0x1688f                            0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  libgomp.so.1  func@0x1688f                          [Unknown]    0x1688f      
[Import thunk GOMP_parallel_end]        0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  str_test      [Import thunk GOMP_parallel_end]      [Unknown]    0x400ab0     
strassen_multiply_internal._omp_fn.4    0.020s                   0.020s                            0s                        0.020s                          0s                             0s                            0s                  0s                      0s  str_test      strassen_multiply_internal._omp_fn.4  [Unknown]    0x4024ba     
strassen_multiply_internal._omp_fn.6    0.019s                   0.019s                            0s                        0.019s                          0s                             0s                            0s                  0s                      0s  str_test      strassen_multiply_internal._omp_fn.6  [Unknown]    0x4025d8     
omp_get_num_threads                     0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  libgomp.so.1  omp_get_num_threads                   [Unknown]    0xe220       
[Import thunk malloc]                   0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  str_test      [Import thunk malloc]                 [Unknown]    0x400b80     
[Unknown stack frame(s)]                0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  [Unknown]     [Unknown stack frame(s)]              [Unknown]    0            
matrix_sub                              0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  str_test      matrix_sub                            [Unknown]    0x400eca     
[Import thunk omp_get_thread_num]       0.010s                   0.010s                            0s                        0.010s                          0s                             0s                            0s                  0s                      0s  str_test      [Import thunk omp_get_thread_num]     [Unknown]    0x400ac0     
